Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=b79c2ae536063b01,[전문연구요원] 상시,네이버 대한민국,,"Tool Engineer ㅇ Python/C/C++ 언어 개발 용이 ㅇ... Design, Debugging Skills ㅇ스크립트 언어 개발 경험 (Python, Bash, etc.) ㅇ Embedded Platform과..."
https://kr.indeed.com/viewjob?jk=92bd400e3b5306ba,[Search & Clova] Clova AI 인재,네이버 대한민국,,"산시스템 등 CS 핵심 전공 지식 관련한 수준 높은 이해 Git을 능숙하게 사용 백엔드 서버 구현 역량 (Python, Golang, Java Spring, node.js 등) Mobile App 개발 Objective..."
https://kr.indeed.com/viewjob?jk=b4b6ee0fd83b8ce1,[Search & Clova] Clova 체험형 인턴,네이버 대한민국,,"관리 - 코드 최적화 및 리뷰 자격 요건 - 다음과 같은 프로그래밍 언어 사용자 : C/C++, Python, Go, shell scripting - Unix/Linux 시스템 사용 경험 우대 요건 - DevOps..."
https://kr.indeed.com/viewjob?jk=b87ff4aabad6e65e,Process & Data Scientist,Applied Materials Inc. 대한민국,,"systems Experience... least one programming language (Python, R, Java, etc... writing SQL queries Qualifications..."
https://kr.indeed.com/viewjob?jk=c11254033badb5b2,Bioinformatics/Data Analysis 석/박사,LG생활건강 3.8 서울특별시,,"생물 NGS data를 이용한 whole-genome/metagenome 연구 경력자 각종 분석 tool(R, Python, Java, C/C++ 등)을 자유롭게 활용 가능한 자 일본어/중국어/영어 활용능력 Native 또는..."
https://kr.indeed.com/viewjob?jk=55a19c92c845685e,Developer / Designer recruit,마이뮤직테이스트 서울 논현동,,"language (i.e Python, Ruby, Java, .Net... High proficiency in Python... knowledge... least one Python web framework..."
https://kr.indeed.com/viewjob?jk=e2dfb5ede005951f,Python 웹프로그램 엔지니어,이진솔루션 인천 서구,"연봉 24,000,000원 - 26,000,000원",지원자격 경력 신입·경력 학력 - 성별 무관 기타 담당업무 Python 웹프로그램 엔지니어 채용 담당업무 - 웹프로그램 개발/새로운 시스템 연구 개발등 - 근무부서 : 연구소 자격요건 - 경력 : 신입/경력 상세모집요강...
https://kr.indeed.com/viewjob?jk=9e73c6c0c12902dd,[Search & Clova] 네이버 Data Science 데이터 분석...,네이버 대한민국,,"Machine Learning 관련 분야 전문 지식 또는 프로젝트 경험 · R, Python, Jav a 중 하나에 뛰어난 프로그래밍 역량 · Python, Shell Programming 사용 경험 · 해외 출장/ 근무에..."
https://kr.indeed.com/viewjob?jk=ea3daca56d64b287,네이버웹툰 ToonRadar(불법 웹툰 유출자 감시 시스템) 연구 개발자...,네이버 대한민국,,개발 기술 및 지식을 보유하신 분 우대조건 - 문제 해결을 위한 머신러닝 기법을 잘 활용할 줄 아는 분 - Python을 모국어처럼 잘 다루는 분 - 정보/인터넷 보안 기술에 대한 충분한 이해와 지식을 가진 분 ​ 전형 절차...
https://kr.indeed.com/viewjob?jk=3da7d3e61d2dc145,"웹,서버 개발자/기업부설연구소/정규직",에프앤디파트너스 대한민국,"연봉 32,000,000원 - 34,000,000원","따른 연봉협상가능 3. 우대사항 - 컴퓨터공학, 정보통신학과 학위 소지자 - 인근거주자 및 운전가능자 - Python, Node.JS 경험자 - 새로운 기술, 개발언어 습득에 관심이 많은 분 - 장기근무희망자 (정규직 채용건..."
https://kr.indeed.com/viewjob?jk=8becbf73bbda7c96,2019 Military Service Exemption Position...,울산과학기술원 울산 언양읍,,"least one programming language... Fortran, C/C++, Python, …; Experience... managing high performance computational..."
